Date,Time,Avg Wait Time (US),Max Wait Time (US),Avg Wait Time (Non-US),Max Wait Time (Non-US),Avg Wait Time,Max Wait Time,0-15,16-30,31-45,46-60,61-90,91-120,120 plus,Excluded,Total,Flights,Booths
11/12/2016,1200 - 1300,12,52,18,51,16,52,873,693,162,13,0,0,0,55,1796,6,43
11/12/2016,1300 - 1400,11,61,20,60,17,61,711,452,255,14,1,0,0,50,1483,5,42
11/12/2016,1400 - 1500,17,69,24,74,21,74,871,635,375,144,45,0,0,64,2134,8,40
11/12/2016,1500 - 1600,6,24,14,26,10,26,328,132,0,0,0,0,0,18,478,3,33
11/12/2016,1600 - 1700,7,42,12,55,10,55,1017,254,25,3,0,0,0,45,1344,5,43
11/12/2016,1700 - 1800,16,66,26,74,21,74,926,676,386,132,55,0,0,64,2239,8,43
11/12/2016,1800 - 1900,8,39,12,41,10,41,548,159,7,0,0,0,0,19,733,3,33
11/12/2016,1900 - 2000,17,49,20,49,18,49,582,566,234,14,0,0,0,43,1439,6,33
11/12/2016,2000 - 2100,7,25,12,27,8,27,375,66,0,0,0,0,0,13,454,3,19
11/12/2016,2100 - 2200,8,36,13,39,10,39,772,254,34,0,0,0,0,37,1097,7,21
11/12/2016,2200 - 2300,12,50,19,51,15,51,427,287,68,10,0,0,0,25,817,6,22
11/12/2016,2300 - 0000,5,23,10,40,7,40,190,33,5,0,0,0,0,12,240,2,23
11/13/2016,0500 - 0600,14,27,17,29,16,29,87,98,0,0,0,0,0,5,190,1,29
11/13/2016,0600 - 0700,10,44,13,40,12,44,1330,659,15,0,0,0,0,63,2067,8,38
11/13/2016,0700 - 0800,11,56,13,56,12,56,929,188,124,17,0,0,0,37,1295,5,35
11/13/2016,0800 - 0900,13,67,15,81,14,81,628,282,80,23,4,0,0,35,1052,7,37
11/13/2016,0900 - 1000,16,65,26,77,23,77,926,944,280,231,121,0,0,74,2576,10,36
11/13/2016,1000 - 1100,18,56,27,59,23,59,379,343,250,63,0,0,0,33,1068,5,31
11/13/2016,1100 - 1200,10,29,15,41,13,41,711,281,47,0,0,0,0,36,1075,4,33
11/13/2016,1200 - 1300,8,40,15,54,13,54,1185,505,133,17,0,0,0,65,1905,8,42
11/13/2016,1300 - 1400,10,37,18,40,15,40,681,365,118,0,0,0,0,35,1199,3,46
11/13/2016,1400 - 1500,11,52,22,60,17,60,896,628,203,98,0,0,0,54,1879,8,41
11/13/2016,1500 - 1600,7,25,11,33,9,33,992,270,4,0,0,0,0,38,1304,5,38
11/13/2016,1600 - 1700,7,47,10,37,8,47,1036,181,2,3,0,0,0,36,1258,5,44
11/13/2016,1700 - 1800,11,43,17,43,13,43,644,382,91,0,0,0,0,28,1145,6,36
11/13/2016,1800 - 1900,17,62,20,62,19,62,697,622,241,45,5,0,0,49,1659,5,39
11/13/2016,1900 - 2000,11,35,17,37,13,37,508,255,23,0,0,0,0,26,812,4,30
11/13/2016,2000 - 2100,3,19,5,19,4,19,430,12,0,0,0,0,0,14,456,3,16
